"Data","À vista R$","À vista US$"
"2020-01-02","534.42","132.84"
"2020-01-03","534.07","131.77"
"2020-01-06","514.24","126.32"
"2020-01-07","509.50","125.49"
"2020-01-08","502.34","124.07"
"2020-01-09","498.57","121.99"
"2020-01-10","502.57","123.15"
"2020-01-13","493.84","119.37"
"2020-01-14","491.04","118.93"
"2020-01-15","489.77","117.25"
"2020-01-16","487.70","116.28"
"2020-01-17","488.66","117.44"
"2020-01-20","488.08","116.51"
"2020-01-21","485.12","115.51"
"2020-01-22","487.44","116.70"
"2020-01-23","488.23","117.22"
"2020-01-24","485.06","115.88"
"2020-01-27","475.01","112.96"
"2020-01-28","475.97","113.49"
"2020-01-29","471.06","111.57"
"2020-01-30","470.22","110.35"
"2020-01-31","473.81","110.63"
"2020-02-03","453.70","106.78"
"2020-02-04","452.94","106.40"
"2020-02-05","455.96","107.44"
"2020-02-06","458.70","107.25"
"2020-02-07","461.41","106.83"
"2020-02-10","464.85","107.43"
"2020-02-11","467.40","108.05"
"2020-02-12","469.31","107.96"
"2020-02-13","484.06","111.43"
"2020-02-14","498.94","116.03"
"2020-02-17","498.77","115.30"
"2020-02-18","488.00","111.98"
"2020-02-19","493.29","112.91"
"2020-02-20","486.89","111.01"
"2020-02-21","501.10","114.14"
"2020-02-26","505.14","113.79"
"2020-02-27","511.41","114.41"
"2020-02-28","522.42","116.30"
"2020-03-02","533.54","118.96"
"2020-03-03","548.53","121.63"
"2020-03-04","547.90","119.68"
"2020-03-05","537.74","115.69"
"2020-03-06","525.30","113.48"
"2020-03-09","532.71","112.27"
"2020-03-10","544.28","117.20"
"2020-03-11","541.48","114.38"
"2020-03-12","544.55","113.02"
"2020-03-13","540.39","111.37"
"2020-03-16","543.26","108.00"
"2020-03-17","538.10","107.60"
"2020-03-18","558.49","106.83"
"2020-03-19","569.41","111.67"
"2020-03-20","575.57","114.00"
"2020-03-23","576.11","112.10"
"2020-03-24","582.94","114.48"
"2020-03-25","589.87","117.69"
"2020-03-26","582.00","116.31"
"2020-03-27","566.67","112.03"
"2020-03-30","577.85","111.66"
"2020-03-31","581.56","111.92"
"2020-04-01","579.37","110.15"
"2020-04-02","587.78","111.64"
"2020-04-03","581.63","109.43"
"2020-04-06","582.30","109.83"
"2020-04-07","588.37","112.78"
"2020-04-08","588.51","114.25"
"2020-04-09","584.08","114.53"
"2020-04-13","584.78","112.96"
"2020-04-14","582.10","112.22"
"2020-04-15","590.34","112.75"
"2020-04-16","591.03","112.39"
"2020-04-17","588.06","112.16"
"2020-04-20","586.62","110.56"
"2020-04-22","585.70","108.32"
"2020-04-23","590.29","107.25"
"2020-04-24","585.13","103.18"
"2020-04-27","583.76","102.25"
"2020-04-28","582.91","106.02"
"2020-04-29","575.41","107.41"
"2020-04-30","573.02","105.20"
"2020-05-04","573.79","103.59"
"2020-05-05","583.41","104.24"
"2020-05-06","586.64","102.90"
"2020-05-07","587.73","100.33"
"2020-05-08","597.52","103.95"
"2020-05-11","591.67","101.40"
"2020-05-12","583.78","99.59"
"2020-05-13","583.34","98.62"
"2020-05-14","588.86","100.88"
"2020-05-15","593.87","101.83"
"2020-05-18","586.52","102.65"
"2020-05-19","582.91","101.66"
"2020-05-20","579.38","102.06"
"2020-05-21","575.20","103.19"
"2020-05-22","568.90","101.95"
"2020-05-25","569.15","104.36"
"2020-05-26","559.06","104.69"
"2020-05-27","542.37","102.49"
"2020-05-28","535.77","99.0"
"2020-05-29","513.30","96.2"
"2020-06-01","507.99","94.4"
"2020-06-02","502.31","96.3"
"2020-06-03","499.13","98.9"
"2020-06-04","493.35","96.3"
"2020-06-05","487.68","98.6"
"2020-06-08","472.84","97.7"
"2020-06-09","468.92","96.5"
"2020-06-10","465.57","94.8"
"2020-06-12","468.75","92.6"
"2020-06-15","467.09","90.0"
"2020-06-16","465.41","89.7"
"2020-06-17","474.03","90.3"
"2020-06-18","479.19","88.7"
"2020-06-19","478.80","90.5"
"2020-06-22","478.47","90.3"
"2020-06-23","480.12","93.2"
"2020-06-24","484.13","91.7"
"2020-06-25","477.89","89.6"
"2020-06-26","488.60","89.6"
"2020-06-29","500.17","92.1"
"2020-06-30","507.79","93.4"
"2020-07-01","510.69","96.6"
"2020-07-02","512.81","95.2"
"2020-07-03","510.08","95.7"
"2020-07-06","491.88","92.8"
"2020-07-07","491.09","91.8"
"2020-07-08","492.97","92.3"
"2020-07-09","492.33","92.7"
"2020-07-10","488.95","91.1"
"2020-07-13","496.71","92.6"
"2020-07-14","488.80","91.2"
"2020-07-15","485.62","90.3"
"2020-07-16","490.91","92.9"
